product_id,product_name,category,brand,current_price,old_price,created_date,updated_date,expiry_date,is_active
1001,Quaker Oats,Food,Nestle,94.02,91.50999999999999,2024-04-10,2024-06-24,2026-06-28,False
1002,Sugar,Personal Care,Generic,208.05,194.98000000000002,2022-12-13,2023-10-07,2023-07-15,False
1003,Maida,Food,Generic,67.66,,2023-04-13,2023-04-16,2024-07-29,False
1004,Besan,Beverages,Dabur,24.71,12.46,2023-05-07,2023-07-05,2025-11-15,False
1005,Refined Oil,Household,Dabur,192.01,176.1,2024-01-18,2024-04-09,2026-08-10,True
1006,Clinic Plus,Household,Nestle,213.73,210.17,2022-12-23,2023-03-23,2026-03-04,
1007,Dantkanti,Food,Generic,137.28,131.42,2025-06-27,2025-08-05,2027-09-25,False
1008,Nutrella,Beverages,Quaker,278.44,270.81,2025-01-08,2025-02-01,2027-10-02,True
1009,,Food,Dabur,195.4,193.62,2025-08-31,2026-03-06,2029-03-25,True
1010,Coffee Powder,Beverages,Generic,55.52,41.71,2022-06-02,2022-09-23,2022-03-29,False
1011,Toothpaste,Beverages,Patanjali,267.08,255.13,2022-05-19,2023-01-13,2026-02-22,False
1012,Dish Soap,Household,Quaker,232.64,231.05999999999997,2025-04-22,2025-10-02,2028-03-23,True
1013,Floor Cleaner,Beverages,Nestle,104.17,97.35,2025-04-07,2025-08-25,2028-03-27,False
1014,Shampoo,Household,Dabur,107.38,87.97999999999999,2022-07-27,2023-03-01,2024-04-02,True
1015,Cooking Salt,Personal Care,Quaker,40.58,29.189999999999998,2023-07-27,2023-10-08,2026-04-18,True
1016,Spices Mix,Food,Nestle,69.48,64.58,2024-02-12,2024-02-21,2024-11-28,True
1017,Energy Drink,Household,Quaker,164.46,161.0,2023-01-03,2023-07-16,2027-01-15,False
1018,Fruit Juice,Household,Quaker,42.46,29.62,2025-03-10,2025-08-21,2027-10-15,True
1019,Milk Powder,Beverages,Patanjali,,,2022-02-19,2022-09-02,2025-12-14,True
1020,Butter,Beverages,Generic,135.57,129.19,2022-05-31,2022-11-08,2023-02-19,True
